Registry,Root,Key,Name,Value,Component_
_52EDE82362654E11B75D041EA8DB5250.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{B6015805-36B4-39C1-B0A5-DEED49B40EC0}\Implemented Categories,+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_D350476611824CEC9266C3D2B13A002D.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{B6015805-36B4-39C1-B0A5-DEED49B40EC0}\Implemented Categories\{62C8FE65-4EBB-45E7-B440-6E39B2CDBF29},+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_0840C9DF790449C68B4B24F547D3BC48.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{FAB76F31-E1A4-36B5-942C-8B3FA9D28774}\InprocServer32,Assembly,"ActiveReports.Design, Version=3.4.0.2027, Culture=neutral, PublicKeyToken=cc4967777c49a3ff",C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_20AC3ECFE86349F99D6B7293B6B9D9EB.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{FAB76F31-E1A4-36B5-942C-8B3FA9D28774}\InprocServer32,Class,DataDynamics.ActiveReports.InternalC.DDLp2,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_91C15C928BC94A4BB7FE598A72D57A92.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{FAB76F31-E1A4-36B5-942C-8B3FA9D28774}\InprocServer32,ThreadingModel,Both,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_92200D89B63E48E4861F2F3D1191F93B.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{FAB76F31-E1A4-36B5-942C-8B3FA9D28774}\InprocServer32,RuntimeVersion,v1.0.3705,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_CD0DD0980FD64CDDB6130E817CFEF319.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{FAB76F31-E1A4-36B5-942C-8B3FA9D28774}\Implemented Categories,+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_274352F3848740DAA01CA97AEDBEFC4B.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{FAB76F31-E1A4-36B5-942C-8B3FA9D28774}\Implemented Categories\{62C8FE65-4EBB-45E7-B440-6E39B2CDBF29},+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_001E4B4CE52747F3ACE06648B765AEE8.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{34EA82B5-2D72-33B9-9DCB-220916AD751B}\InprocServer32,RuntimeVersion,v1.0.3705,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_662A2BA982D74B38A7A1B6685CC4ABCB.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{34EA82B5-2D72-33B9-9DCB-220916AD751B}\InprocServer32,ThreadingModel,Both,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_9D6D4F744C504CBBB3AB5D035BC47192.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{34EA82B5-2D72-33B9-9DCB-220916AD751B}\InprocServer32,Assembly,"ActiveReports.Design, Version=3.4.0.2027, Culture=neutral, PublicKeyToken=cc4967777c49a3ff",C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_BFBF08D101A64130BE63969405D407F6.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{34EA82B5-2D72-33B9-9DCB-220916AD751B}\InprocServer32,Class,DataDynamics.ActiveReports.Design.UndoManager,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_D456058AC7EF4EC8A29745AD9A57DA19.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{34EA82B5-2D72-33B9-9DCB-220916AD751B}\Implemented Categories,+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_8CED2A832347499684D0B05CF7465A40.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{34EA82B5-2D72-33B9-9DCB-220916AD751B}\Implemented Categories\{62C8FE65-4EBB-45E7-B440-6E39B2CDBF29},+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_603B7F6F6E3244719514A5DE85D251ED.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{9A1B4585-91C8-32FB-90E9-570D5A763E4C}\InprocServer32,Class,DataDynamics.ActiveReports.Design.InternalC.ModifiersConverter,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_8CE202197118440C8084212196A53876.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{9A1B4585-91C8-32FB-90E9-570D5A763E4C}\InprocServer32,ThreadingModel,Both,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_DA3D8D60146B421D82660676EC5D86E5.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{9A1B4585-91C8-32FB-90E9-570D5A763E4C}\InprocServer32,Assembly,"ActiveReports.Design, Version=3.4.0.2027, Culture=neutral, PublicKeyToken=cc4967777c49a3ff",C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_FE01380623194267BC26B9696897877E.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{9A1B4585-91C8-32FB-90E9-570D5A763E4C}\InprocServer32,RuntimeVersion,v1.0.3705,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_776647F2C60343ECBA9BDF0CE2F35C67.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{9A1B4585-91C8-32FB-90E9-570D5A763E4C}\Implemented Categories,+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_720861F12445427F9EC23BEC11AFE614.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{9A1B4585-91C8-32FB-90E9-570D5A763E4C}\Implemented Categories\{62C8FE65-4EBB-45E7-B440-6E39B2CDBF29},+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_A0D6E03F9C914EB79E901364D0F92D8C.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{97430C95-D8C5-3669-AE41-27327738197E}\InprocServer32,RuntimeVersion,v1.0.3705,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_C840A149324A4A1383562F49A9935AA8.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{97430C95-D8C5-3669-AE41-27327738197E}\InprocServer32,ThreadingModel,Both,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_C924861CAD924355A15EE920B15EE163.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{97430C95-D8C5-3669-AE41-27327738197E}\InprocServer32,Assembly,"ActiveReports.Design, Version=3.4.0.2027, Culture=neutral, PublicKeyToken=cc4967777c49a3ff",C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_E5886571336B4D7DA0AAD0547E532375.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{97430C95-D8C5-3669-AE41-27327738197E}\InprocServer32,Class,DataDynamics.ActiveReports.Design.InternalC.OutputFormatTypeEditor,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_F2E8601D45A14C9C8B469120336AB0C5.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{97430C95-D8C5-3669-AE41-27327738197E}\Implemented Categories,+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_8D97607EA3F6456AAFFD228F691E2C64.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{97430C95-D8C5-3669-AE41-27327738197E}\Implemented Categories\{62C8FE65-4EBB-45E7-B440-6E39B2CDBF29},+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_0735B5FB530D4426BE6D4BA7EBB2B60E.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{569BD043-987F-3D0E-80E1-45D619D64DF5}\InprocServer32,Assembly,"ActiveReports.Design, Version=3.4.0.2027, Culture=neutral, PublicKeyToken=cc4967777c49a3ff",C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_410FD0A1840B426CA011B8684D2DA315.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{569BD043-987F-3D0E-80E1-45D619D64DF5}\InprocServer32,Class,DataDynamics.ActiveReports.Design.InternalC.ModifierValue,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_54B7927A45F14F1C99896B614BAE453F.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{569BD043-987F-3D0E-80E1-45D619D64DF5}\InprocServer32,ThreadingModel,Both,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_D160F53ED057491B9B0C9D9745BDC4B7.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{569BD043-987F-3D0E-80E1-45D619D64DF5}\InprocServer32,RuntimeVersion,v1.0.3705,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_F9306F923C6A440C9F92E0002AC6B687.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{569BD043-987F-3D0E-80E1-45D619D64DF5}\Implemented Categories,+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_A3916A19E45C4B29993327941CEE6AA5.6492B5CA1425435EB4E109C1192F04D7,0,CLSID\{569BD043-987F-3D0E-80E1-45D619D64DF5}\Implemented Categories\{62C8FE65-4EBB-45E7-B440-6E39B2CDBF29},+,,C__17F6E11913884A6DBE1D3FB892C0BB50.6492B5CA1425435EB4E109C1192F04D7
_B91E50AC5E204BC9867A0A54EFF7423F.3689E6D571634F2294B5E633BF0B0BA1,0,Licenses\170811A2-AFB0-46fc-BCED-B2AF6319CC3F\[CALLERKEY],,[CALLERLICENSE],C__B91E50AC5E204BC9867A0A54EFF7423F.3689E6D571634F2294B5E633BF0B0BA1
r0.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C0-F192-11D4-A65F-0040963251E5},,XML DOM Document 4.0,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r1.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C0-F192-11D4-A65F-0040963251E5}\InProcServer32,,[#msxml4.dll.246EB7AD_459A_4FA8_83D1_41A46D7634B7],MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r2.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C0-F192-11D4-A65F-0040963251E5}\InProcServer32,ThreadingModel,Both,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r3.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C0-F192-11D4-A65F-0040963251E5}\ProgID,,Msxml2.DOMDocument.4.0,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r4.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C0-F192-11D4-A65F-0040963251E5}\Version,,4.0,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r5.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C0-F192-11D4-A65F-0040963251E5}\TypeLib,,{F5078F18-C551-11D3-89B9-0000F81FE221},MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r6.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,Msxml2.DOMDocument.4.0,,XML DOM Document 4.0,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r7.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,Msxml2.DOMDocument.4.0\CLSID,,{88D969C0-F192-11D4-A65F-0040963251E5},MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r8.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C1-F192-11D4-A65F-0040963251E5},,Free Threaded XML DOM Document 4.0,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r9.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C1-F192-11D4-A65F-0040963251E5}\InProcServer32,,[#msxml4.dll.246EB7AD_459A_4FA8_83D1_41A46D7634B7],MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r10.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C1-F192-11D4-A65F-0040963251E5}\InProcServer32,ThreadingModel,Both,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r11.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C1-F192-11D4-A65F-0040963251E5}\ProgID,,Msxml2.FreeThreadedDOMDocument.4.0,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r12.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C1-F192-11D4-A65F-0040963251E5}\Version,,4.0,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r13.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C1-F192-11D4-A65F-0040963251E5}\TypeLib,,{F5078F18-C551-11D3-89B9-0000F81FE221},MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r14.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,Msxml2.FreeThreadedDOMDocument.4.0,,Free Threaded XML DOM Document 4.0,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r15.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,Msxml2.FreeThreadedDOMDocument.4.0\CLSID,,{88D969C1-F192-11D4-A65F-0040963251E5},MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r16.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C4-F192-11D4-A65F-0040963251E5},,XML Data Source Object 4.0,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r17.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C4-F192-11D4-A65F-0040963251E5}\InProcServer32,,[#msxml4.dll.246EB7AD_459A_4FA8_83D1_41A46D7634B7],MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r18.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C4-F192-11D4-A65F-0040963251E5}\InProcServer32,ThreadingModel,Apartment,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r19.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C4-F192-11D4-A65F-0040963251E5}\ProgID,,Msxml2.DSOControl.4.0,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r20.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C4-F192-11D4-A65F-0040963251E5}\Version,,4.0,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r21.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C4-F192-11D4-A65F-0040963251E5}\TypeLib,,{F5078F18-C551-11D3-89B9-0000F81FE221},MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r22.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,Msxml2.DSOControl.4.0,,XML Data Source Object 4.0,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r23.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,Msxml2.DSOControl.4.0\CLSID,,{88D969C4-F192-11D4-A65F-0040963251E5},MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r24.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C5-F192-11D4-A65F-0040963251E5},,XML HTTP 4.0,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r25.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C5-F192-11D4-A65F-0040963251E5}\InProcServer32,,[#msxml4.dll.246EB7AD_459A_4FA8_83D1_41A46D7634B7],MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r26.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C5-F192-11D4-A65F-0040963251E5}\InProcServer32,ThreadingModel,Apartment,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r27.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C5-F192-11D4-A65F-0040963251E5}\ProgID,,Msxml2.XMLHTTP.4.0,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r28.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C5-F192-11D4-A65F-0040963251E5}\Version,,4.0,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r29.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,CLSID\{88D969C5-F192-11D4-A65F-0040963251E5}\TypeLib,,{F5078F18-C551-11D3-89B9-0000F81FE221},MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
r30.246EB7AD_459A_4FA8_83D1_41A46D7634B7,0,Msxml2.XMLHTTP.4.0,,XML HTTP 4.0,MSXML4_System.246EB7AD_459A_4FA8_83D1_41A46D7634B7
